FX_ID,COUNTRY_ID,BASE_CCY,QUOTE_CCY,AS_OF_DATE,FX_RATE_BASE_PER_QUOTE,SOURCE_SYSTEM,UPDATED_AT
FX5000,CT009,CAD,USD,2026-01-03,53.700594,RBI,2026-01-01 10:00:00
FX5001,CT011,KRW,USD,2026-01-03,57.346175,RBI,2026-01-01 10:01:00
FX5002,CT008,BRL,USD,2026-01-12,21.333683,Reuters,2026-01-01 10:02:00
FX5003,CT004,JPY,USD,2026-01-03,63.651052,Reuters,2026-01-01 10:03:00
FX5004,CT009,CAD,USD,2026-01-07,15.984737,Reuters,2026-01-01 10:04:00
FX5005,CT004,JPY,USD,2026-01-18,21.308124,RBI,2026-01-01 10:05:00
FX5006,CT009,CAD,USD,2026-01-03,80.804555,Reuters,2026-01-01 10:06:00
FX5007,CT009,CAD,USD,2026-01-01,0.881055,ECB,2026-01-01 10:07:00
FX5008,CT006,GBP,USD,2026-01-10,28.280807,RBI,2026-01-01 10:08:00
FX5009,CT009,CAD,USD,2026-01-10,9.003263,ECB,2026-01-01 10:09:00
FX5010,CT003,CNY,USD,2026-01-02,45.056008,FED,2026-01-01 10:10:00
FX5011,CT002,USD,USD,2026-01-04,72.294808,Reuters,2026-01-01 10:11:00
FX5012,CT005,EUR,USD,2026-01-02,60.2708,Reuters,2026-01-01 10:12:00
FX5013,CT006,GBP,USD,2026-01-19,5.925877,RBI,2026-01-01 10:13:00
FX5014,CT001,INR,USD,2026-01-01,28.849441,FED,2026-01-01 10:14:00
