OBS_ID,COUNTRY_ID,INDICATOR_ID,PERIOD_START,YEAR,VALUE,SOURCE_SYSTEM,VINTAGE_DATE,IS_ESTIMATE,UPDATED_AT
OB9000,CT004,IN002,2019-01-01,2019,4837.84,IMF,2026-01-18,N,2026-01-01 09:00:00
OB9001,CT007,IN004,2024-01-01,2024,49997.25,OECD,2026-01-19,N,2026-01-01 09:01:00
OB9002,CT007,IN003,2022-01-01,2022,3.96,WorldBank,2026-01-04,Y,2026-01-01 09:02:00
OB9003,CT009,IN003,2016-01-01,2016,0.67,IMF,2026-01-12,N,2026-01-01 09:03:00
OB9004,CT006,IN004,2019-01-01,2019,48960.61,WorldBank,2026-01-15,N,2026-01-01 09:04:00
OB9005,CT008,IN001,2016-01-01,2016,1940.76,WorldBank,2026-01-06,N,2026-01-01 09:05:00
OB9006,CT001,IN004,2022-01-01,2022,2098.98,OECD,2026-01-04,N,2026-01-01 09:06:00
OB9007,CT009,IN002,2025-01-01,2025,2657.87,UN,2026-01-16,Y,2026-01-01 09:07:00
OB9008,CT009,IN004,2016-01-01,2016,52411.51,WorldBank,2026-01-16,Y,2026-01-01 09:08:00
OB9009,CT009,IN003,2024-01-01,2024,5.96,WorldBank,2026-01-11,N,2026-01-01 09:09:00
OB9010,CT009,IN001,2025-01-01,2025,2832.89,UN,2026-01-18,N,2026-01-01 09:10:00
OB9011,CT004,IN004,2025-01-01,2025,47125.53,WorldBank,2026-01-11,N,2026-01-01 09:11:00
OB9012,CT005,IN004,2019-01-01,2019,55403.75,OECD,2026-01-09,N,2026-01-01 09:12:00
OB9013,CT003,IN004,2018-01-01,2018,9996.94,UN,2026-01-01,N,2026-01-01 09:13:00
OB9014,CT007,IN001,2024-01-01,2024,4031.08,OECD,2026-01-19,N,2026-01-01 09:14:00
OB9015,CT008,IN004,2022-01-01,2022,9060.0,OECD,2026-01-05,N,2026-01-01 09:15:00
OB9016,CT007,IN004,2021-01-01,2021,46448.57,OECD,2026-01-18,N,2026-01-01 09:16:00
OB9017,CT007,IN003,2023-01-01,2023,2.6,WorldBank,2026-01-05,N,2026-01-01 09:17:00
OB9018,CT004,IN004,2020-01-01,2020,41270.31,OECD,2026-01-02,N,2026-01-01 09:18:00
OB9019,CT001,IN003,2016-01-01,2016,-2.16,UN,2026-01-03,N,2026-01-01 09:19:00
OB9020,CT009,IN002,2021-01-01,2021,2553.25,OECD,2026-01-03,N,2026-01-01 09:20:00
OB9021,CT009,IN001,2019-01-01,2019,2373.05,UN,2026-01-06,Y,2026-01-01 09:21:00
OB9022,CT010,IN001,2025-01-01,2025,2199.84,IMF,2026-01-19,N,2026-01-01 09:22:00
OB9023,CT003,IN002,2024-01-01,2024,22766.5,UN,2026-01-07,N,2026-01-01 09:23:00
OB9024,CT001,IN004,2023-01-01,2023,2032.61,WorldBank,2026-01-04,N,2026-01-01 09:24:00
